Name,Acceleration,TopSpeed,Range,Efficiency,FastChargeSpeed,Drive,NumberofSeats,PriceinGermany,PriceinUK,id,Battery_Capacity_kwh
"Skoda Enyaq iV 80X",6.9,160,405,190,500,"All Wheel Drive",5,47000,42000,104,77
"Skoda Enyaq iV RS",6.2,180,395,195,480,"All Wheel Drive",5,50000,45000,105,77
"Fiat 500e Hatchback 42 kWh",9.0,150,250,149,420,"Front Wheel Drive",4,27560,23995,106,37
"Citroen e-C4",9.7,150,250,180,330,"Front Wheel Drive",5,34640,30895,107,45
"Audi Q4 Sportback e-tron 50 quattro",6.2,180,400,192,490,"All Wheel Drive",5,55600,52870,108,77
"Jaguar I-Pace EV400",4.8,200,365,232,340,"All Wheel Drive",5,77300,65195,109,85
"Mercedes EQB 350 4MATIC",6.5,160,340,196,400,"All Wheel Drive",7,60000,50000,110,67
"Kia e-Soul 64 kWh",7.9,167,370,173,350,"Front Wheel Drive",5,37790,NULL,111,64
"Volkswagen ID.4 GTX",6.2,180,400,193,490,"All Wheel Drive",5,50415,55540,112,77
"Kia e-Soul 39 kWh",9.9,157,230,170,220,"Front Wheel Drive",5,33990,NULL,113,39
"Mercedes EQA 300 4MATIC",7.7,160,350,190,420,"All Wheel Drive",5,53538,NULL,114,67
"Audi Q4 Sportback e-tron 35",9.0,160,295,175,410,"Rear Wheel Drive",5,43900,42250,115,52
"Nissan Ariya 63kWh",7.5,160,335,188,450,"Front Wheel Drive",5,45000,40000,116,63
"Nissan Ariya 87kWh",7.6,160,445,196,530,"Front Wheel Drive",5,50000,45000,117,87
"Mercedes EQA 350 4MATIC",6.0,160,350,190,420,"All Wheel Drive",5,56216,NULL,118,67
"Nissan Ariya e-4ORCE 63kWh",5.9,200,325,194,440,"All Wheel Drive",5,50000,45000,119,63
"Nissan Ariya e-4ORCE 87kWh",5.7,200,420,207,500,"All Wheel Drive",5,57500,52500,120,87
"Toyota PROACE Verso M 50 kWh",12.1,130,185,243,250,"Front Wheel Drive",7,58530,NULL,121,45
"Nissan Ariya e-4ORCE 87kWh Performance",5.1,200,385,226,460,"All Wheel Drive",5,65000,57500,122,87
"Toyota PROACE Verso L 50 kWh",12.1,130,180,250,240,"Front Wheel Drive",7,59385,NULL,123,45
"Toyota PROACE Verso M 75 kWh",13.1,130,270,252,290,"Front Wheel Drive",7,64530,NULL,124,68
"Toyota PROACE Verso L 75 kWh",13.1,130,270,252,290,"Front Wheel Drive",7,65385,NULL,125,68
"CUPRA Born 150 kW - 62 kWh",7.3,160,350,166,440,"Rear Wheel Drive",5,36770,30500,126,58
"Volkswagen ID.3 Pro Performance",7.3,160,350,166,440,"Rear Wheel Drive",5,36495,29740,127,58
