region,address,"aux addres",latitude,longitude,type,power,service,id
NDMC,"Press Club of India, 1, Raisina Road, Windsor Place, New Delhi110001","Electric Vehicle Charger, Press Club of India, 1, Raisina Road, Windsor Place, New Delhi110001",28.617193,77.213645,DC-001,15,"Self Service",37
NDMC,"Post Office, Laxmi Bai Nagar, Safderjung Flyover, New Delhi","Electric Vehicle Charger, Post Office, Laxmi Bai Nagar, Safderjung Flyover, New Delhi",28.578452,77.209231,DC-001,15,"Self Service",38
"NOIDA AUTHORITY","Electronic City , Metro Station parking gate no.2, Noida - 201301","Electric Vehicle Charger, Electronic City , Metro Station parking gate no.2, Noida - 201301",28.627941,77.374930,DC-001,15,"Self Service",39
"NOIDA AUTHORITY","H Block market, Haldiram, Car parking , sector - 63 , Noida - 201301","Electric Vehicle Charger, H Block market, Haldiram, Car parking , sector - 63 , Noida - 201301",28.626582,77.375216,DC-001,15,"Self Service",40
SDMC,"Charger 4,c/o SDMC, GK-1 N Block market, New Delhi,, Delhi - 110048","Electric Vehicle Charger, Charger 4,c/o SDMC, GK-1 N Block market, New Delhi,, Delhi - 110048",28.573052,77.173534,"CCS/ChADEMO/ Type 2 AC",142,"Self Service",41
NDMC,"Side of Hotel Claridges, Tees January Marg, Dr. APJ Abdul Kalam Road, New Delhi- 110003","Electric Vehicle Charger, Side of Hotel Claridges, Tees January Marg, Dr. APJ Abdul Kalam Road, New Delhi- 110003",28.602443,77.217889,DC-001,15,"Self Service",42
SDMC,"Charger 5, c/o SDMC, GK-1 N Block market, New Delhi,, Delhi - 110048","Electric Vehicle Charger, Charger 5, c/o SDMC, GK-1 N Block market, New Delhi,, Delhi - 110048",28.573052,77.173534,"CCS/ChADEMO/ Type 2 AC",142,"Self Service",43
NDMC,"Gate No. 1, Lodhi Garden, Lodhi Estate, Lodhi Road, New Delhi 110003","Electric Vehicle Charger, Gate No. 1, Lodhi Garden, Lodhi Estate, Lodhi Road, New Delhi 110003",28.590711,77.224284,DC-001,15,"Self Service",44
SDMC,"EESL PVR Priya Vasant Vihar, SDMC parking New Delhi, Near Gold's Gym","Electric Vehicle Charger, EESL PVR Priya Vasant Vihar, SDMC parking New Delhi, Near Gold's Gym",28.557662,77.157684,DC-001,15,"Self Service",45
NDMC,"Talkatora Garden,Â President's Estate, New Delhi110004","Electric Vehicle Charger, Talkatora Garden,Â President's Estate, New Delhi110004",28.624836,77.195244,DC-001,15,"Self Service",46
SDMC,"EESL PVR Priya Vasant Vihar, SDMC parking New Delhi, Near Plot 7","Electric Vehicle Charger, EESL PVR Priya Vasant Vihar, SDMC parking New Delhi, Near Plot 7",28.557662,77.157684,DC-001,15,"Self Service",47
NDMC,"Talkatora Garden,Â President's Estate, New Delhi110004","Electric Vehicle Charger, Talkatora Garden,Â President's Estate, New Delhi110004",28.624836,77.195244,DC-001,15,"Self Service",48
SDMC,"EV Parking Slot 3-5, SDMC Parking, Hauz Khas Village, Hauz Khas, 110016","Electric Vehicle Charger, EV Parking Slot 3-5, SDMC Parking, Hauz Khas Village, Hauz Khas, 110016",28.553400,77.194165,"CCS/ChADEMO/ Type 2 AC",142,"Self Service",49
NDMC,"Talkatora Stadium,Â President's Estate, New Delhi110004","Electric Vehicle Charger, Talkatora Stadium,Â President's Estate, New Delhi110004",28.625294,77.195234,DC-001,15,"Self Service",50
SDMC,"EV Parking Slot 5, SDMC Parking, Hauz Khas Village, Hauz Khas, 110016","Electric Vehicle Charger, EV Parking Slot 5, SDMC Parking, Hauz Khas Village, Hauz Khas, 110016",28.553400,77.194165,"CCS/ChADEMO/ Type 2 AC",142,"Self Service",51
NDMC,"Indian Coffee House, Connaught Place, New Delhi","Electric Vehicle Charger, Indian Coffee House, Connaught Place, New Delhi",28.630810,77.216158,DC-001,15,"Self Service",52
NDMC,"Talkatora Garden,Â President's Estate, New Delhi110004","Electric Vehicle Charger, Talkatora Garden,Â President's Estate, New Delhi110004",28.624836,77.195244,DC-001,15,"Self Service",53
NDMC,"Talkatora Stadium,Â President's Estate, New Delhi110004","Electric Vehicle Charger, Talkatora Stadium,Â President's Estate, New Delhi110004",28.625294,77.195234,DC-001,15,"Self Service",54
CMRL,"High Court Metro Station, Chennai","Electric Vehicle Charger, High Court Metro Station, Chennai",13.031849,80.241973,DC-001,15,"Self Service",55
NRANVP,"State Council For Child Welfare, CV Raman Pillai Rd, Near Kerala, Housing Board, Thycaud, Thiruvananthapuram, Kerala 695014","Electric Vehicle Charger, State Council For Child Welfare, CV Raman Pillai Rd, Near Kerala, Housing Board, Thycaud, Thiruvananthapuram, Kerala 695014",8.491622,76.956247,"CCS/ChADEMO/ Type 2 AC",142,"Self Service",56
CMRL,"High Court Metro Station, Chennai","Electric Vehicle Charger, High Court Metro Station, Chennai",13.031849,80.241973,AC-001,10,"Self Service",57
CMRL,"Koyam Bedu Metro Station, Chennai","Electric Vehicle Charger, Koyam Bedu Metro Station, Chennai",13.109281,80.152346,DC-001,15,"Self Service",58
CMRL,"Tirumangalam Metro station, Chennai","Electric Vehicle Charger, Tirumangalam Metro station, Chennai",12.991845,80.141801,"CCS/ChADEMO/ Type 2 AC",142,"Self Service",59
CMRL,"Tirumangalam Metro station, Chennai","Electric Vehicle Charger, Tirumangalam Metro station, Chennai",12.991845,80.141801,"CCS/ChADEMO/ Type 2 AC",142,"Self Service",60
CMRL,"Koyam Bedu Metro Station, Chennai","Electric Vehicle Charger, Koyam Bedu Metro Station, Chennai",13.109281,80.152346,AC-001,10,"Self Service",61
CMRL,"Anna Nagar East Metro Station, Chennai (CMRL)","Electric Vehicle Charger, Anna Nagar East Metro Station, Chennai (CMRL)",12.995922,80.210287,DC-001,15,"Self Service",62
ANERT,"KTDC Tourist Reception Centre Shanmugham road, Ernakulam, Marine drive, Kochi Kerala-682031","Electric Vehicle Charger, KTDC Tourist Reception Centre Shanmugham road, Ernakulam, Marine drive, Kochi Kerala-682031",9.976921,76.277781,"CCS/ChADEMO/ Type 2 AC",142,"Self Service",63
CMRL,"Anna Nagar East Metro Station, Chennai (CMRL)","Electric Vehicle Charger, Anna Nagar East Metro Station, Chennai (CMRL)",12.995922,80.210287,AC-001,10,"Self Service",64
NDMC,"NMDC Parking, Dilli Haat, West Kidwai Nagar, New Delhi 110023","Electric Vehicle Charger, NMDC Parking, Dilli Haat, West Kidwai Nagar, New Delhi 110023",28.577232,77.197239,DC-001,15,"Self Service",65
NDMC,"Hotel Claridges, Tees January Marg, Dr. APJ Abdul Kalam Road, New Delhi- 110003","Electric Vehicle Charger, Hotel Claridges, Tees January Marg, Dr. APJ Abdul Kalam Road, New Delhi- 110003",28.602443,77.217889,DC-001,15,"Self Service",66
NDMC,"Akashvani Bhawan, Sansad Marg, New Delhi 110001","Electric Vehicle Charger, Akashvani Bhawan, Sansad Marg, New Delhi 110001",28.624516,77.213556,"CCS/ChADEMO/ Type 2 AC",142,"Self Service",67
NDMC,"Akashvani Bhawan, Sansad Marg, New Delhi 110001","Electric Vehicle Charger, Akashvani Bhawan, Sansad Marg, New Delhi 110001",28.624516,77.213556,"CCS/ChADEMO/ Type 2 AC",142,"Self Service",68
NDMC,"FICCI, FICCI Chowk, Mandi House, New Delhi","Electric Vehicle Charger, FICCI, FICCI Chowk, Mandi House, New Delhi",28.626869,77.231853,"CCS/ChADEMO/ Type 2 AC",142,"Self Service",69
NDMC,"Janpath Guest House, Connaught Place, New Delhi","Electric Vehicle Charger, Janpath Guest House, Connaught Place, New Delhi",28.623779,77.218963,DC-001,15,"Self Service",70
SDMC,"EESL N-Block GK-1, SDMC parking New Delhi","Electric Vehicle Charger, EESL N-Block GK-1, SDMC parking New Delhi",28.556841,77.234049,DC-001,15,"Self Service",71
SDMC,"SDMC Parking, B6, Safderjung Enclave","Electric Vehicle Charger, SDMC Parking, B6, Safderjung Enclave",28.550361,77.213916,DC-001,15,"Self Service",72
SDMC,"SDMC Parking, SDA Market, Hauz Khas, New Delhi, Delhi 110016","Electric Vehicle Charger, SDMC Parking, SDA Market, Hauz Khas, New Delhi, Delhi 110016",28.546391,77.196355,DC-001,15,"Self Service",73
SDMC,"SDMC Parking, Aurbindo Market Place,Hauz Khas, New Delhi, Delhi 110016","Electric Vehicle Charger, SDMC Parking, Aurbindo Market Place,Hauz Khas, New Delhi, Delhi 110016",28.545394,77.190823,DC-001,15,"Self Service",74
SDMC,"J-Block, Malviya Nagar, parking New Delhi","Electric Vehicle Charger, J-Block, Malviya Nagar, parking New Delhi",28.583686,77.080200,DC-001,15,"Self Service",75
SDMC,"SDMC Parking, R Block, GK-1, DELHI-110016","Electric Vehicle Charger, SDMC Parking, R Block, GK-1, DELHI-110016",28.550014,77.244870,DC-001,15,"Self Service",76
NKDA,"Near Tank No 3, Opp Goutams, Street Number 24,Sub Central Business District Action Area 1, Action Area I, Newtown West Bengal 700156","Electric Vehicle Charger, Near Tank No 3, Opp Goutams, Street Number 24,Sub Central Business District Action Area 1, Action Area I, Newtown West Bengal 700156",22.579939,88.453181,DC-001,15,"Self Service",77
NKDA,"Near Tank No 3, Opp Goutams, Street Number 24,Sub Central Business District Action Area 1, Action Area I, Newtown West Bengal 700156","Electric Vehicle Charger, Near Tank No 3, Opp Goutams, Street Number 24,Sub Central Business District Action Area 1, Action Area I, Newtown West Bengal 700156",22.579939,88.453181,AC-001,10,"Self Service",78
NKDA,"NKDA New Town Business Club Parking Lot, AE Block(Newtown), Newtown, West Bengal 700059","Electric Vehicle Charger, NKDA New Town Business Club Parking Lot, AE Block(Newtown), Newtown, West Bengal 700059",22.585303,88.456906,DC-001,15,"Self Service",79
NDMC,"Near NDMC Office, Fire Brigade Lane, Barakhamba, New Delhi- 110001","Electric Vehicle Charger, Near NDMC Office, Fire Brigade Lane, Barakhamba, New Delhi- 110001",28.630448,77.225558,"CCS/ChADEMO/ Type 2 AC",142,"Self Service",80
NKDA,"NKDA New Town Business Club Parking Lot, AE Block(Newtown), Newtown, West Bengal 700059","Electric Vehicle Charger, NKDA New Town Business Club Parking Lot, AE Block(Newtown), Newtown, West Bengal 700059",22.585303,88.456906,AC-001,10,"Self Service",81
NDMC,"Near NDMC Office, Fire Brigade Lane, Barakhamba, New Delhi- 110001","Electric Vehicle Charger, Near NDMC Office, Fire Brigade Lane, Barakhamba, New Delhi- 110001",28.630448,77.225558,"CCS/ChADEMO/ Type 2 AC",142,"Self Service",82
NKDA,"Parking Lot, 7 Wonders, Gate No 4, Eco Park Entry Plaza, AA IIB, Newtown, Kolkata, West Bengal 700135","Electric Vehicle Charger, Parking Lot, 7 Wonders, Gate No 4, Eco Park Entry Plaza, AA IIB, Newtown, Kolkata, West Bengal 700135",22.603134,88.467143,DC-001,15,"Self Service",83
NKDA,"Parking Lot, 7 Wonders, Gate No 4, Eco Park Entry Plaza, AA IIB, Newtown, Kolkata, West Bengal 700135","Electric Vehicle Charger, Parking Lot, 7 Wonders, Gate No 4, Eco Park Entry Plaza, AA IIB, Newtown, Kolkata, West Bengal 700135",22.603134,88.467143,AC-001,10,"Self Service",84
NDMC,"Talkatora Stadium, President's Estate, New Delhi110004","Electric Vehicle Charger, Talkatora Stadium, President's Estate, New Delhi110004",28.625294,77.195234,"CCS/ChADEMO/ Type 2 AC",142,"Self Service",85
NDMC,"Talkatora Garden, President's Estate, New Delhi110004","Electric Vehicle Charger, Talkatora Garden, President's Estate, New Delhi110004",28.624836,77.195244,"CCS/ChADEMO/ Type 2 AC",142,"Self Service",86
NKDA,"Parking Lot Golf Club, Gate no. 6, Ecopark, Deshbandhu Nagar, Rekjuani, West Bengal 700156","Electric Vehicle Charger, Parking Lot Golf Club, Gate no. 6, Ecopark, Deshbandhu Nagar, Rekjuani, West Bengal 700156",22.583356,88.459342,DC-001,15,"Self Service",87
SDMC,"c/o SDMCHauz Khas VillageNew Delhi,Delhi - 110016","Electric Vehicle Charger, c/o SDMCHauz Khas VillageNew Delhi,Delhi - 110016",28.547170,77.200275,"CCS/ChADEMO/ Type 2 AC",142,"Self Service",88
NKDA,"Parking Lot Golf Club, Gate no. 6, Ecopark, Deshbandhu Nagar, Rekjuani, West Bengal 700156","Electric Vehicle Charger, Parking Lot Golf Club, Gate no. 6, Ecopark, Deshbandhu Nagar, Rekjuani, West Bengal 700156",22.583356,88.459342,AC-001,10,"Self Service",89
SDMC,"PVR Priya Vasant Vihar","Electric Vehicle Charger, PVR Priya Vasant Vihar",28.497483,77.082978,"CCS/ChADEMO/ Type 2 AC",142,"Self Service",90
NKDA,"NKDA Parking Lot, Beside Tata Memorial Cancer Hospital , 14, MAR(E-W), DH Block(Newtown), Action Area I, Newtown, Kolkata, West Bengal 700160","Electric Vehicle Charger, NKDA Parking Lot, Beside Tata Memorial Cancer Hospital , 14, MAR(E-W), DH Block(Newtown), Action Area I, Newtown, Kolkata, West Bengal 700160",22.577097,88.479632,DC-001,15,"Self Service",91
SDMC,"Meharchand Market, New Delhi","Electric Vehicle Charger, Meharchand Market, New Delhi",28.588111,77.217556,"CCS/ChADEMO/ Type 2 AC",142,"Self Service",92
NKDA,"NKDA Parking Lot, Beside Tata Memorial Cancer Hospital , 14, MAR(E-W), DH Block(Newtown), Action Area I, Newtown, Kolkata, West Bengal 700160","Electric Vehicle Charger, NKDA Parking Lot, Beside Tata Memorial Cancer Hospital , 14, MAR(E-W), DH Block(Newtown), Action Area I, Newtown, Kolkata, West Bengal 700160",22.577097,88.479632,AC-001,10,"Self Service",93
NKDA,"NKDA Parking Lot, Beside Axis Mall, CF Block Newtown, Action Area 1C, Newtown, Kolkata, West Bengal 700156","Electric Vehicle Charger, NKDA Parking Lot, Beside Axis Mall, CF Block Newtown, Action Area 1C, Newtown, Kolkata, West Bengal 700156",22.579653,88.459843,DC-001,15,"Self Service",94
NKDA,"NKDA Parking Lot, Beside Axis Mall, CF Block Newtown, Action Area 1C, Newtown, Kolkata, West Bengal 700156","Electric Vehicle Charger, NKDA Parking Lot, Beside Axis Mall, CF Block Newtown, Action Area 1C, Newtown, Kolkata, West Bengal 700156",22.579653,88.459843,AC-001,10,"Self Service",95
